,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
9,TQBR,2020-06-02,МосБиржа,MOEX,31151,1984610703.7,115.12,114.01,116.1,115.5,114.86,115.5,17276130,114.88,114.88,115.5,1984610703.7,1984610703.7,1984610703.7,,3,SUR,0.94
10,TQBR,2020-06-01,МосБиржа,MOEX,21939,1060565816.1,114.28,113.39,115.32,114.42,114.17,114.42,9287040,114.2,114.2,114.42,1060565816.1,1060565816.1,1060565816.1,,3,SUR,0.11
11,TQBR,2020-05-29,МосБиржа,MOEX,17520,1480027292.6,115.19,113.9,115.19,114.29,114.26,114.29,12953460,114.26,114.26,114.29,1480027292.6,1480027292.6,1480027292.6,,3,SUR,-0.95
12,TQBR,2020-05-28,МосБиржа,MOEX,13431,701274578.0,114.59,114.24,115.46,115.39,115.03,115.39,6096340,115.03,115.03,115.39,701274578.0,701274578.0,701274578.0,,3,SUR,0.7
13,TQBR,2020-05-27,МосБиржа,MOEX,28041,1431155645.1,115.3,113.77,116.4,114.59,114.9,114.59,12456190,114.9,114.9,114.59,1431155645.1,1431155645.1,1431155645.1,,3,SUR,-0.64
14,TQBR,2020-05-26,МосБиржа,MOEX,20418,1044848086.1,116.56,114.86,116.82,115.33,115.92,115.33,9013340,115.92,115.92,115.33,1044848086.1,1044848086.1,1044848086.1,,3,SUR,-0.56
15,TQBR,2020-05-25,МосБиржа,MOEX,16292,722497656.0,114.31,114.26,115.98,115.98,115.12,115.98,6275940,115.12,115.12,115.98,722497656.0,722497656.0,722497656.0,,3,SUR,1.32
16,TQBR,2020-05-22,МосБиржа,MOEX,14888,704699437.7,114.51,113.3,114.94,114.47,114.3,114.47,6165340,114.3,114.3,114.47,704699437.7,704699437.7,704699437.7,,3,SUR,-0.76
17,TQBR,2020-05-21,МосБиржа,MOEX,22750,1363706004.4,116.04,114.8,116.39,115.35,115.41,115.35,11816330,115.41,115.41,115.35,1363706004.4,1363706004.4,1363706004.4,,3,SUR,-0.39
18,TQBR,2020-05-20,МосБиржа,MOEX,25474,1437609712.3,114.4,114.23,116.06,115.8,115.34,115.8,12464470,115.34,115.34,115.8,1437609712.3,1437609712.3,1437609712.3,,3,SUR,1.22
19,TQBR,2020-05-19,МосБиржа,MOEX,25718,1370788537.8,115.77,114.0,116.6,114.4,114.98,114.4,11916470,115.03,115.03,114.4,1370788537.8,1370788537.8,1370788537.8,,3,SUR,-1.3
20,TQBR,2020-05-18,МосБиржа,MOEX,62308,3263037582.5,115.0,113.17,115.91,115.91,114.46,115.91,28506770,114.47,114.47,115.91,3263037582.5,3263037582.5,3263037582.5,,3,SUR,2.06
21,TQBR,2020-05-15,МосБиржа,MOEX,76873,3490350004.2,118.0,113.11,119.6,113.57,115.32,113.57,30248320,115.39,115.39,113.57,3490350004.2,3490350004.2,3490350004.2,,3,SUR,-2.48
22,TQBR,2020-05-14,МосБиржа,MOEX,90513,4068902655.3,120.1,114.62,120.29,116.46,117.74,116.46,34558470,117.74,117.74,116.46,4068902655.3,4068902655.3,4068902655.3,,3,SUR,-8.5
23,TQBR,2020-05-13,МосБиржа,MOEX,56958,3651062822.5,128.0,125.1,128.0,127.28,126.47,127.28,28888760,126.38,126.38,127.28,3651062822.5,3651062822.5,3651062822.5,,3,SUR,-0.8
24,TQBR,2020-05-12,МосБиржа,MOEX,41438,2623020011.6,127.54,125.7,128.74,128.3,127.71,128.3,20542660,127.69,127.69,128.3,2623020011.6,2623020011.6,2623020011.6,,3,SUR,0.95
25,TQBR,2020-05-08,МосБиржа,MOEX,39250,1765038979.4,125.9,124.2,127.78,127.09,126.0,127.09,14009540,125.99,125.99,127.09,1765038979.4,1765038979.4,1765038979.4,,3,SUR,1.85
26,TQBR,2020-05-07,МосБиржа,MOEX,33474,1772590323.3,123.34,122.92,125.25,124.78,124.37,124.78,14252640,124.37,124.37,124.78,1772590323.3,1772590323.3,1772590323.3,,3,SUR,1.66
27,TQBR,2020-05-06,МосБиржа,MOEX,35978,1809208576.1,121.99,120.92,123.68,122.74,122.61,122.74,14756000,122.61,122.61,122.74,1809208576.1,1809208576.1,1809208576.1,,3,SUR,1.45
28,TQBR,2020-05-05,МосБиржа,MOEX,25545,1165880226.4,121.1,119.85,121.59,120.99,120.59,120.99,9668280,120.59,120.59,120.99,1165880226.4,1165880226.4,1165880226.4,,3,SUR,1.16
29,TQBR,2020-05-04,МосБиржа,MOEX,43910,2207144009.2,118.66,117.88,122.47,119.6,120.42,119.6,18328970,120.42,120.42,119.6,2207144009.2,2207144009.2,2207144009.2,,3,SUR,-0.52
30,TQBR,2020-04-30,МосБиржа,MOEX,59004,3329381309.4,121.7,116.97,123.94,120.23,119.45,120.23,27861440,119.5,119.5,120.23,3329381309.4,3329381309.4,3329381309.4,,3,SUR,-1.05
31,TQBR,2020-04-29,МосБиржа,MOEX,78576,3784609096.6,126.07,120.77,129.15,121.5,124.13,121.5,30488410,124.13,124.13,121.5,3784609096.6,3784609096.6,3784609096.6,,3,SUR,-3.07
32,TQBR,2020-04-28,МосБиржа,MOEX,58163,3404463664.2,120.3,118.8,125.35,125.35,123.65,125.35,27533070,123.65,123.65,125.35,3404463664.2,3404463664.2,3404463664.2,,3,SUR,4.37
33,TQBR,2020-04-27,МосБиржа,MOEX,30410,1747828327.6,118.2,117.85,120.65,120.1,119.32,120.1,14647630,119.32,119.32,120.1,1747828327.6,1747828327.6,1747828327.6,,3,SUR,2.62
34,TQBR,2020-04-24,МосБиржа,MOEX,24921,1309679372.6,117.5,115.58,118.23,117.03,117.05,117.03,11189320,117.05,117.05,117.03,1309679372.6,1309679372.6,1309679372.6,,3,SUR,-0.4
35,TQBR,2020-04-23,МосБиржа,MOEX,32320,1695047808.4,119.9,116.8,119.9,117.5,117.96,117.5,14369930,117.96,117.96,117.5,1695047808.4,1695047808.4,1695047808.4,,3,SUR,1.26
36,TQBR,2020-04-22,МосБиржа,MOEX,57015,3076525051.7,111.0,110.25,118.84,116.04,116.35,116.04,26442670,116.35,116.35,116.04,3076525051.7,3076525051.7,3076525051.7,,3,SUR,4.54
37,TQBR,2020-04-21,МосБиржа,MOEX,39061,2220353794.0,111.11,108.37,111.8,111.0,110.21,111.0,20154700,110.17,110.17,111.0,2220353794.0,2220353794.0,2220353794.0,,3,SUR,-0.72
38,TQBR,2020-04-20,МосБиржа,MOEX,27867,1582580099.2,113.3,111.65,113.36,111.8,112.17,111.8,14109190,112.17,112.17,111.8,1582580099.2,1582580099.2,1582580099.2,,3,SUR,-1.38
39,TQBR,2020-04-17,МосБиржа,MOEX,47928,2835811791.2,109.9,109.52,113.77,113.37,112.28,113.37,25255610,112.28,112.28,113.37,2835811791.2,2835811791.2,2835811791.2,,3,SUR,4.41
40,TQBR,2020-04-16,МосБиржа,MOEX,45548,2752873957.8,103.56,102.8,108.98,108.58,106.31,108.58,25893900,106.31,106.31,108.58,2752873957.8,2752873957.8,2752873957.8,,3,SUR,5.75
41,TQBR,2020-04-15,МосБиржа,MOEX,38003,2059668161.8,105.95,102.11,106.79,102.68,104.28,102.68,19751750,104.28,104.28,102.68,2059668161.8,2059668161.8,2059668161.8,,3,SUR,-3.31
42,TQBR,2020-04-14,МосБиржа,MOEX,27447,1449156487.8,104.1,104.1,106.84,106.2,106.04,106.2,13665730,106.04,106.04,106.2,1449156487.8,1449156487.8,1449156487.8,,3,SUR,2.78
43,TQBR,2020-04-13,МосБиржа,MOEX,20666,698900926.1,105.8,101.05,106.15,103.33,103.97,103.33,6722230,103.97,103.97,103.33,698900926.1,698900926.1,698900926.1,,3,SUR,-1.96
44,TQBR,2020-04-10,МосБиржа,MOEX,15211,525190612.3,106.5,105.14,106.5,105.4,105.65,105.4,4971190,105.65,105.65,105.4,525190612.3,525190612.3,525190612.3,,3,SUR,-1.4
45,TQBR,2020-04-09,МосБиржа,MOEX,37903,2567145064.3,105.0,103.93,106.9,106.9,105.39,106.9,24358940,105.39,105.39,106.9,2567145064.3,2567145064.3,2567145064.3,,3,SUR,2.59
46,TQBR,2020-04-08,МосБиржа,MOEX,35044,1790586052.2,101.02,100.0,104.3,104.2,102.79,104.2,17419490,102.79,102.79,104.2,1790586052.2,1790586052.2,1790586052.2,,3,SUR,2.79
47,TQBR,2020-04-07,МосБиржа,MOEX,34459,1974585667.4,102.6,100.35,103.5,101.37,102.12,101.37,19335760,102.12,102.12,101.37,1974585667.4,1974585667.4,1974585667.4,,3,SUR,0.62
48,TQBR,2020-04-06,МосБиржа,MOEX,31525,1568250668.2,99.89,98.9,101.44,100.75,100.04,100.75,15675870,100.04,100.04,100.75,1568250668.2,1568250668.2,1568250668.2,,3,SUR,1.77
49,TQBR,2020-04-03,МосБиржа,MOEX,33447,1904404868.4,97.0,96.71,100.02,99.0,98.94,99.0,19253550,98.91,98.91,99.0,1904404868.4,1904404868.4,1904404868.4,,3,SUR,1.8
50,TQBR,2020-04-02,МосБиржа,MOEX,30228,1584084209.1,97.5,95.27,98.23,97.25,96.62,97.25,16393780,96.63,96.63,97.25,1584084209.1,1584084209.1,1584084209.1,,3,SUR,0.56
51,TQBR,2020-04-01,МосБиржа,MOEX,22922,1461379113.0,95.78,95.03,97.24,96.71,96.33,96.71,15170410,96.33,96.33,96.71,1461379113.0,1461379113.0,1461379113.0,,3,SUR,-0.56
